sku,product_name,category,warehouse,current_stock,reserved_stock,reorder_level,reorder_quantity,unit_cost,avg_daily_sales,lead_time_days,supplier,reliability_score
85123A,White Hanging Heart,Home,W1,120,40,100,300,2.5,18,7,Supplier A,0.92
84406B,Cream Cupid Hearts,Home,W1,60,15,80,200,1.8,12,10,Supplier B,0.75
84029G,Knitted Union Flag,Decor,W2,500,20,100,250,3.2,5,5,Supplier C,0.88
84029E,Red Woolly Hottie,Decor,W2,30,10,70,150,4.1,8,14,Supplier B,0.72
22752,Set 7 Babushka Dolls,Toys,W3,15,5,50,120,5.3,6,12,Supplier D,0.67
21730,Glass Star Frosted,Decor,W1,250,30,100,180,2.2,9,6,Supplier A,0.95
22633,Hand Warmer Union Jack,Seasonal,W2,45,5,60,160,1.1,15,9,Supplier E,0.70
22632,Hand Warmer Red Retrospot,Seasonal,W2,90,20,70,180,1.0,13,8,Supplier E,0.70
84879,Assorted Colour Bird Ornament,Home,W3,700,100,150,400,1.6,20,6,Supplier F,0.89
47566,Party Bunting,Events,W3,20,4,60,140,3.7,4,20,Supplier G,0.61
